oid,measurement_id,sid,mjd,ra,dec,band,created_date,parentdiasourceid,visit,detector,diaobjectid,ssobjectid,raerr,decerr,ra_dec_cov,x,xerr,y,yerr,centroid_flag,apflux,apfluxerr,apflux_flag,apflux_flag_aperturetruncated,isnegative,snr,psfflux,psffluxerr,psflnl,psfchi2,psfndata,psfflux_flag,psfflux_flag_edge,psfflux_flag_nogoodpixels,trailflux,trailfluxerr,trailra,trailraerr,traildec,traildecerr,traillength,traillengtherr,trailangle,trailangleerr,trailchi2,trailndata,trail_flag_edge,dipolemeanflux,dipolemeanfluxerr,dipolefluxdiff,dipolefluxdifferr,dipolelength,dipoleangle,dipolechi2,dipolendata,scienceflux,sciencefluxerr,forced_psfflux_flag,forced_psfflux_flag_edge,forced_psfflux_flag_nogoodpixels,templateflux,templatefluxerr,ixx,iyy,ixy,ixxpsf,iyypsf,ixypsf,shape_flag,shape_flag_no_pixels,shape_flag_not_contained,shape_flag_parent_source,extendedness,reliability,isdipole,dipolefitattempted,timeprocessedmjdtai,timewithdrawnmjdtai,bboxsize,pixelflags,pixelflags_bad,pixelflags_cr,pixelflags_crcenter,pixelflags_edge,pixelflags_nodata,pixelflags_nodatacenter,pixelflags_interpolated,pixelflags_interpolatedcenter,pixelflags_offimage,pixelflags_saturated,pixelflags_saturatedcenter,pixelflags_suspect,pixelflags_suspectcenter,pixelflags_streak,pixelflags_streakcenter,pixelflags_injected,pixelflags_injectedcenter,pixelflags_injected_template,pixelflags_injected_templatecenter,glint_trail,has_stamp,visual_classification,AGN_prob,SN_prob,VS_prob,asteroid_prob,bogus_prob
170098888568471580,170098888568471580,1,61106.24337388651,149.9557950168946,3.806026477727564,2,2026-03-07,0,2026030600310,186,170098888568471580,0,3.951074e-05,7.415169e-05,4.6749726e-10,1045.6953,0.6989531,1736.981,1.3443483,False,5953.455,782.37823,False,False,False,14.563438,5845.2173,419.98053,,2201.2405,1681,False,False,False,8670.366,57.160797,149.9558252569529,,3.8060875047339335,,2.7935154,,-29.541346,,,0,False,,,,,,,,0,14009.908,423.0386,False,False,False,8116.2666,14.568318,0.35569635,0.65651673,0.47045368,0.39080083,0.4492772,-0.008939441,False,False,False,False,0.35730663,0.8770524,False,False,61106.244902596576,,35,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,cosmic ray,0.11528205,0.40868908,0.12920758,0.27498722,0.07183402
170098888695349293,170098888695349293,1,61106.24384151529,150.10918323275618,3.3819540251415736,2,2026-03-07,0,2026030600311,172,170098888695349293,0,1.8680747e-05,9.8924675e-06,-1.6188599e-11,81.65965,0.33665803,1548.4922,0.17722766,False,6046.675,791.2539,False,False,False,14.929153,6153.2065,394.37772,,2448.7285,1681,False,False,False,7802.525,28.6218,150.10910926348856,,3.382008482731843,,2.4340036,,-61.594234,,,0,False,,,,,,,,0,27222.238,398.5429,False,False,False,21308.883,11.95885,0.6260879,0.13808286,0.28595975,0.32124332,0.3141072,-0.017766058,False,False,False,False,0.27862677,0.66144377,False,False,61106.24540618544,,29,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,cosmic ray,0.015478503,0.7910329,0.00026455062,0.0051756324,0.18804836
170098888537538639,170098888537538639,1,61106.24337388651,150.91030852745058,2.5650551327850564,2,2026-03-07,0,2026030600310,127,170098888537538639,0,1.2785829e-05,8.918654e-06,-9.857347e-12,2638.981,0.23087536,2666.1196,0.1593171,False,3102.7595,722.3583,False,False,False,12.71807,4173.558,329.595,,2115.7402,1681,False,False,False,4103.972,18.437174,150.91031894033313,,2.565053683735373,,1.2068563,,-66.665375,,,0,False,,,,,,,,0,13777.024,334.11237,False,False,False,9575.769,14.882138,0.17345165,0.022069545,0.05014561,0.2220667,0.25439376,0.0024624534,False,False,False,False,0.8737138,0.60378575,False,False,61106.24526269583,,31,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,cosmic ray,0.0070989574,0.9626564,0.00019929664,0.0020877875,0.02795754
170098888797585484,170098888797585484,1,61106.24574360979,149.03521103673813,3.13937492895601,5,2026-03-07,0,2026030600312,111,170098888797585484,0,1.2781009e-05,1.4470282e-05,7.2603014e-11,3086.7795,0.18919109,3538.1816,0.2917259,False,14626.286,3065.2043,False,False,False,13.30602,18666.94,1396.9321,,2326.7576,1681,False,False,False,,,,,,,,,,,,0,False,,,,,,,,0,69233.54,1400.1635,False,False,False,50253.74,284.3973,,,,0.1817567,0.2909723,-0.0028695646,True,False,False,False,,0.52670455,False,False,61106.24741535034,,24,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,cosmic ray,0.024457311,0.58070207,0.00036504443,0.006482596,0.38799304
170098889178218680,170098889178218680,1,61106.24860699496,148.9944867076226,2.6287481840624767,4,2026-03-07,0,2026030600315,69,170098889178218680,0,3.0622494e-05,3.0296047e-05,6.576564e-11,2457.9202,0.52877754,1565.4442,0.5678066,False,-25605.326,1190.9518,False,False,True,20.110483,-9688.875,444.71454,,3149.2358,1681,False,False,False,-37013.617,80.44194,148.99400849263554,,2.6287732613218346,,6.044304,,-85.86787,,,0,False,,,,,,,,0,-196.79881,441.9657,False,False,False,9581.169,87.176506,2.4238367,2.5008385,-2.2730067,0.14354038,0.1730526,0.007367952,False,False,False,False,1.0,0.7960191,False,False,61106.25029155227,,49,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,problems with the reference,0.45561016,0.52732277,0.0005737131,0.01456725,0.0019261079
170098889172451416,170098889172451416,1,61106.24860699496,149.17200391456265,2.1701303369820852,4,2026-03-07,0,2026030600315,58,170098889172451416,0,5.5321766e-06,5.036835e-06,1.6225484e-11,2579.34,0.061183188,2874.764,0.12000252,False,6374.62,1240.2002,False,False,False,22.97139,11032.067,460.32974,,2639.847,1681,False,False,False,,,,,,,,,,,,0,False,,,,,,,,0,27301.023,459.4119,False,False,False,16193.558,80.90956,,,,0.14341824,0.147496,0.0065813665,True,False,False,False,,0.5110266,False,False,61106.25028752998,,32,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,cosmic ray,0.002719505,0.9513226,0.00025589278,0.006201199,0.039500803
170054920100642927,170054920100642927,1,61096.03721128707,61.83756818003035,-49.66690706101273,3,2026-02-25,0,2026022400400,29,170054920100642927,0,6.2812564e-06,3.7540422e-06,5.2098677e-12,1132.198,0.11469244,3037.2327,0.06513204,False,3903.6323,674.18964,False,False,False,24.930504,6401.028,250.11656,,2440.3953,1681,False,False,False,,,,,,,,,,,,0,False,,,,,,,,0,13631.161,249.66449,False,False,False,6894.759,68.66968,,,,0.14762937,0.13510793,0.018533144,True,False,False,False,,0.79805195,False,False,61096.03900565381,,17,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,cosmic ray,0.40144807,0.522723,0.00425317,0.013604615,0.057971098
170054921094693042,170054921094693042,1,61096.04042791214,63.551700554603,-46.328668284484564,3,2026-02-25,0,2026022400407,133,170054921094693042,0,7.3895776e-06,5.815235e-06,2.2464449e-11,1270.9153,0.1495596,3858.6782,0.07947865,False,3648.4446,645.4002,False,False,False,21.863377,4527.8027,205.88782,,2259.8755,1681,False,False,False,4943.837,2.1679597,63.551683396117845,,-46.32867794222592,,1.1169935,,-144.11954,,,0,False,,,,,,,,0,7087.4443,207.91534,False,False,False,2454.5183,77.9638,0.14430846,0.033366315,-0.051767714,0.09851671,0.11059864,0.004715191,False,False,False,False,0.057460476,0.7605667,False,False,61096.04227829338,,19,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,cosmic ray,0.19874203,0.5896239,0.001202589,0.05797978,0.15245171
170054921081061562,170054921081061562,1,61096.04042791214,62.09584900886715,-47.89871266474957,3,2026-02-25,0,2026022400407,107,170054921081061562,0,0.000118423886,0.00018276996,-1.9062199e-08,1761.9515,0.8694106,2092.0437,3.8224924,False,-11148.633,1295.2054,False,False,True,5.506474,-2216.2642,435.5849,,1895.2455,1681,False,False,False,-3673.8691,86.24972,62.09598843227076,,-47.89886353203233,,2.017733,,159.7384,,,0,False,,,,,,,,0,212954.34,418.6389,False,False,False,217693.53,144.69705,0.33306295,0.7165893,-0.07960091,0.12319048,0.15435262,0.005839364,False,False,False,False,1.0,0.5479386,False,False,61096.042322852416,,19,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,no clear source,0.0106679695,0.8513898,0.00019674051,0.0026082844,0.13513716
170054921657778235,170054921657778235,1,61096.042442277176,61.09516544590436,-47.0851165417078,3,2026-02-25,0,2026022400411,183,170054921657778235,0,3.9811935e-06,3.832055e-06,7.95174e-12,3153.8574,0.08683564,1751.0118,0.048708245,False,7722.0425,679.3451,False,False,False,30.59373,7800.4067,249.2949,,3943.372,1681,False,False,False,13549.158,36.10857,61.09498554657643,,-47.08521213749533,,3.0186,,-131.45781,,,0,False,,,,,,,,0,14610.885,250.40073,False,False,False,6648.0713,75.88864,1.1671861,0.015540741,0.028560027,0.14048654,0.16159722,-0.023853185,False,False,False,False,1.0,0.55911994,False,False,61096.04441678682,,35,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,cosmic ray,0.0026271457,0.9881372,0.00015862168,0.0046114856,0.004465462
170054916398121073,170054916398121073,1,61096.02392389106,62.55071951689675,-47.26535281765574,3,2026-02-25,0,2026022400372,135,170054916398121073,0,1.110348e-05,4.7035496e-06,2.2602701e-11,3529.561,0.20366704,3604.3953,0.074866675,False,3173.1885,700.182,False,False,False,21.274244,5470.657,245.41676,,2231.403,1681,False,False,False,6215.954,9.90519,62.55072943387031,,-47.26534343056008,,1.4465967,,-113.80796,,,0,False,,,,,,,,0,12883.613,248.45714,False,False,False,7291.7915,41.06312,0.2604155,0.02165124,-0.052011054,0.1584224,0.12561904,-0.006122079,False,False,False,False,0.00017151762,0.5350036,False,False,61096.02561363905,,20,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,cosmic ray,0.16042492,0.5005406,0.0015463111,0.038870517,0.29861763
170054916351983728,170054916351983728,1,61096.02392389106,62.345750492677126,-48.72600049199726,3,2026-02-25,0,2026022400372,47,170054916351983728,0,1.8672097e-05,9.835866e-06,5.5058434e-11,2941.9548,0.3415842,3798.8696,0.16624841,False,6506.0317,685.33435,False,False,False,21.616228,5826.088,257.05756,,3242.6248,1681,False,False,False,9395.965,7.9421606,62.34573984873946,,-48.72599504130392,,2.640875,,-131.30765,,,0,False,,,,,,,,0,15574.332,259.24506,False,False,False,9701.984,63.742188,0.67809236,0.22247976,-0.37913114,0.17023924,0.14875728,-0.009455933,False,False,False,False,0.9999983,0.8565961,False,False,61096.025841015246,,27,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,cosmic ray,0.13498011,0.82074034,0.0010364611,0.0075645186,0.03567871
170054916602593314,170054916602593314,1,61096.02479127959,64.559653353793,-49.041012051884806,3,2026-02-25,0,2026022400374,13,170054916602593314,0,1.0655798e-05,1.4684137e-05,-4.2697818e-11,629.38556,0.17832227,1018.06055,0.27422783,False,2716.8137,689.22833,False,False,False,14.780889,3596.7495,247.06355,,2209.998,1681,False,False,False,,,,,,,,,,,,0,False,,,,,,,,0,12241.362,245.88452,False,False,False,8584.067,59.31999,,,,0.1590283,0.1340984,0.006610285,True,False,False,False,,0.741737,False,False,61096.0268546499,,20,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,cosmic ray,0.33966038,0.34572795,0.006979302,0.00828322,0.2993492
