oid,ndethist,ncovhist,mjdstarthist,mjdendhist,corrected,stellar,ndet,g_r_max,g_r_max_corr,g_r_mean,g_r_mean_corr,firstmjd,lastmjd,deltajd,meanra,meandec,sigmara,sigmadec,class,classifier,probability,step_id_corr,tns_match,tns_sep_arcsec,tns_name,tns_name_prefix,tns_type,tns_redshift,tns_full_name
ZTF26aadonog,41,932,61061.50171299977,61111.519548600074,True,False,37,,,,,61061.50171299977,61111.519548600074,50.01783560030162,195.15233316337478,-6.474193859147054,0.0034440991581900565,0.003422135172730746,SNIa,lc_classifier_BHRF_forced_phot,0.663984,27.5.7a32.dev1,True,0.048112921959399056,2026azd,SN,SN Ia-91T-like,0.0156,SN 2026azd
ZTF26aabkqap,35,881,61055.55320600001,61111.51858799998,False,False,35,,,,,61055.55320600001,61111.51858799998,55.96538199996576,203.26306149421114,-16.241590070891135,0.003574307859192522,0.0034316603944330327,SNIa,lc_classifier_BHRF_forced_phot,0.610416,27.5.7a32.dev1,True,0.08777679553828427,2026amc,SN,SN Ia,0.024107,SN 2026amc
ZTF25acldfsf,65,1934,61038.5048727002,61111.46401620004,False,False,62,,,,,61038.5048727002,61111.46401620004,72.95914349984378,218.47327175805506,5.460066832658195,0.0026949759543730776,0.0026827481043277773,SNIa,lc_classifier_BHRF_forced_phot,0.62274,27.5.7a32.dev1,True,0.10422572372977433,2025ajnc,SN,SN Ia,0.024931,SN 2025ajnc
ZTF26aadsezg,121,2965,61065.41228009993,61111.45043980004,False,False,58,,,,,61065.41228009993,61111.45043980004,46.038159700110555,184.3847608783262,13.836323140154652,0.0031165883354399813,0.0030261538235121592,SNIa,lc_classifier_BHRF_forced_phot,0.730536,27.5.7a32.dev1,True,0.15422884815657492,2026bhf,SN,SN Ia,0.065142,SN 2026bhf
ZTF26aadsfln,127,3513,61061.453275499865,61111.44997690013,False,False,85,,,,,61061.454224499874,61111.44997690013,49.99575240025297,188.91274997873504,5.039380130465202,0.0028522265229500333,0.0028412013668301125,SNIa,lc_classifier_BHRF_forced_phot,0.62,27.5.7a32.dev1,True,0.26117716658582557,2026bhk,SN,SN Ia,0.065226,SN 2026bhk
ZTF26aacuoil,34,1076,61059.48164349981,61111.43959489977,False,False,32,,,,,61059.48164349981,61111.43959489977,51.95795139996335,190.8361406268705,-16.52570771270401,0.003586221595328202,0.003438082642921629,SNIa,lc_classifier_BHRF_forced_phot,0.662656,27.5.7a32.dev1,True,0.012810494713424882,2026auf,SN,SN Ia,0.033,SN 2026auf
ZTF26aabjpnx,103,2024,61055.41109950002,61111.383483800106,True,False,70,,,,,61056.29730319977,61111.383483800106,55.086180600337684,144.56730034793748,26.688918925390848,0.0027151224489209706,0.0024258485471108007,SNIa,lc_classifier_BHRF_forced_phot,0.657312,27.5.7a32.dev1,True,0.16245708717115223,2026akn,SN,SN Ia,0.043354,SN 2026akn
ZTF26aafqpqd,42,1313,61079.27781250002,61111.35304399999,False,False,34,,,,,61079.27781250002,61111.35304399999,32.07523149996996,160.1394017606852,2.489350078322197,0.003652184515465962,0.003648737961387396,SNIa,lc_classifier_BHRF_forced_phot,0.67864,27.5.7a32.dev1,True,0.23722082212014142,2026cli,SN,SN Ia,0.08154,SN 2026cli
ZTF25acitiuq,205,3513,61025.433888900094,61111.35065970011,True,False,153,,,,,61025.433888900094,61111.35065970011,85.91677080001682,141.4268953533687,22.334933783867932,0.001963703616691395,0.0018163829631714127,SNIa,lc_classifier_BHRF_forced_phot,0.615568,27.5.7a32.dev1,True,0.1973539516605183,2025ahkt,SN,SN Ia,0.026228,SN 2025ahkt
ZTF26aagdhiy,56,3781,61080.2566550998,61111.327129600104,False,False,53,,,,,61080.2566550998,61111.327129600104,31.070474500302225,134.7556901988416,17.39607279335851,0.010433804882928114,0.009956571077464657,SNIa,lc_classifier_BHRF_forced_phot,0.652,27.5.7a32.dev1,True,0.02491512785717336,2026crq,SN,SN Ia,0.090634,SN 2026crq
