tns_name,tns_redshift,mB_eff,e_mB_eff
2020ymv,0.08,19.40348528129607,0.27667358639698714
2020ymv,0.08,18.800845720399437,0.23969830769118797
2020ymv,0.08,18.598632681043444,0.2157863630233844
2020ymv,0.08,18.25254153203183,0.19485265404094826
2020ymv,0.08,18.109478889659698,0.17891705156233528
2020ymv,0.08,18.098410915736732,0.18178989244835095
2020ymv,0.08,18.13529317278176,0.1811851073521484
2020ymv,0.08,18.2121190051437,0.18489204963793504
2020ymv,0.08,18.53892090456086,0.19099455914123067
2020ymv,0.08,18.70298299769312,0.19144452562242148
2020ymv,0.08,18.475481705017383,0.3421485778398162
2020ymv,0.08,18.741021273364602,0.23321451987565
2020ymv,0.08,18.82268300886899,0.21870320456467407
2020ymv,0.08,18.864982677318153,0.19949707898302518
2020ymv,0.08,19.05468315415531,0.19766325356815473
2020ymv,0.08,19.10033726591402,0.19791715583686784
2020ymv,0.08,19.23401887475854,0.20792783684728033
2020ymv,0.08,19.32568329199105,0.28731016814488064
2020ymv,0.08,19.59652739792138,0.2391191737941136
2022lag,0.0862883,19.559947532358574,0.23264304203171096
2022lag,0.0862883,18.903158787960933,0.2006638253211982
2022lag,0.0862883,18.69898400060384,0.1882217112993419
2022lag,0.0862883,18.69787461058967,0.20909195101704547
2022lag,0.0862883,18.85681861593716,0.18936271873968893
2022lag,0.0862883,19.039578784056115,0.21806965144767052
2022lag,0.0862883,19.149587564924406,0.20220765606904942
2022lag,0.0862883,19.222307185425684,0.1980744162047997
2022lag,0.0862883,19.246195687858986,0.2222490276930061
2022lag,0.0862883,19.56506823319404,0.2425127445575344
2022lag,0.0862883,19.712892115786477,0.23064742008473443
2021wvk,0.066,19.234673386135853,0.24038408522439272
2021wvk,0.066,19.24462033884839,0.2782133443563793
2021wvk,0.066,18.55202989187125,0.20694976730801365
2021wvk,0.066,18.297880722431458,0.20021983856360884
2021wvk,0.066,18.24309210691861,0.20755600515610012
2021wvk,0.066,18.40898624625472,0.22023320740221955
2021wvk,0.066,18.367517104693686,0.19885850195659166
2021wvk,0.066,18.36749910469369,0.19885843612384885
2021wvk,0.066,18.46749525953368,0.1982065596909181
2021wvk,0.066,18.40579473571042,0.1935966474187419
2021wvk,0.066,18.606274809914865,0.20206699563928993
2021wvk,0.066,18.930809726637637,0.2320678019285396
2021wvk,0.066,19.046147858523167,0.26149685853563004
2021wvk,0.066,18.891645793994225,0.22642896029959492
2021yim,0.07,19.76499026240374,0.2638487386233259
2021yim,0.07,19.23964216205813,0.22324137786126116
2021yim,0.07,18.8019518235953,0.2147778112212548
2021yim,0.07,18.512469637991202,0.1931930996791812
